SubLocationId,SubLocationName,LocationId,Land_km2,Male,Female,TotalPopulation,HouseHolds,Density,PersonsPerHH,DomesticWaterDemandM3PerDay,LivestockWaterDemandM3PerDay,GrowthRateCorrection,CorrectedTotalPopulation
57,"Maralal Town",16,27.2,3325,3206,6531,1766,240.110294117647,3.69818799546999,97.965,195.93,1.24,8098
58,"Marti",30,310.3,269,153,422,91,1.35997421849823,4.63736263736264,6.33,12.66,1.24,523
59,"Masikita",7,482.2,569,594,1163,262,2.41186229780174,4.43893129770992,17.445,34.89,1.24,1442
60,"Matakwani",33,340.6,1060,1215,2275,563,6.6793893129771,4.04085257548845,34.125,68.25,1.24,2821
61,"Mbaringon",10,93.8,454,672,1126,245,12.0042643923241,4.59591836734694,16.89,33.78,1.24,1396
62,"Milimani",16,22.3,1872,1803,3675,801,164.798206278027,4.58801498127341,55.125,110.25,1.24,4557
63,"Morijo",2,100.6,690,679,1369,310,13.6083499005964,4.41612903225806,20.535,41.07,1.24,1698
64,"Moru",12,238.8,310,506,816,229,3.41708542713568,3.56331877729258,12.24,24.48,1.24,1012
65,"Moruakiring",17,700.4,377,380,757,140,1.08081096516276,5.40714285714286,11.355,22.71,1.24,939
66,"Mugur",9,74.3,327,483,810,213,10.9017496635262,3.80281690140845,12.15,24.3,1.24,1004
67,"Mugur",25,28.1,386,393,779,158,27.7224199288256,4.93037974683544,11.685,23.37,1.24,966
68,"Nachola",18,261.2,712,703,1415,259,5.41730474732006,5.46332046332046,21.225,42.45,1.24,1755
69,"Nakupurat",18,165.2,683,632,1315,242,7.96004842615012,5.43388429752066,19.725,39.45,1.24,1631
70,"Nakwei",8,86.5,164,100,264,65,3.05202312138728,4.06153846153846,3.96,7.92,1.24,327
71,"Nalingangor",5,7,534,733,1267,319,181,3.9717868338558,19.005,38.01,1.24,1571
72,"Nasur",1,64.4,391,452,843,199,13.0900621118012,4.23618090452261,12.645,25.29,1.24,1045
73,"Nauneri",4,92.5,661,715,1376,277,14.8756756756757,4.96750902527076,20.64,41.28,1.24,1706
74,"Ndonyo Wasin",26,570,572,597,1169,269,2.05087719298246,4.3457249070632,17.535,35.07,1.24,1450
75,"Ngari",16,28.2,1868,1971,3839,761,136.13475177305,5.04467805519054,57.585,115.17,1.24,4760
76,"Ngaroni",21,207.8,557,872,1429,399,6.87680461982676,3.58145363408521,21.435,42.87,1.24,1772
77,"Ngejumuny",27,13.5,339,367,706,153,52.2962962962963,4.61437908496732,10.59,21.18,1.24,875
78,"Ngilai",7,219,442,315,757,144,3.45662100456621,5.25694444444444,11.355,22.71,1.24,939
79,"Ngilai",22,568.1,871,1052,1923,503,3.38496743531068,3.82306163021869,28.845,57.69,1.24,2385
80,"Nguronit",3,271.9,339,369,708,179,2.60389849209268,3.95530726256983,10.62,21.24,1.24,878
81,"Ngutuk Engiron",35,106.9,31,39,70,14,0.654817586529467,5,1.05,2.1,1.24,87
82,"Nkare Narok",22,1191.7,683,777,1460,340,1.22514055550894,4.29411764705882,21.9,43.8,1.24,1810
83,"Nonkeek",13,109,382,544,926,243,8.4954128440367,3.81069958847737,13.89,27.78,1.24,1148
84,"Opiroi",23,243.3,883,902,1785,410,7.33662145499383,4.35365853658537,26.775,53.55,1.24,2213
85,"Parkati",24,135.1,579,393,972,213,7.19467061435973,4.56338028169014,14.58,29.16,1.24,1205
86,"Purra",15,151.9,342,305,647,139,4.25938117182357,4.65467625899281,9.705,19.41,1.24,802
87,"Raraiti",19,101.4,299,377,676,162,6.66666666666667,4.17283950617284,10.14,20.28,1.24,838
88,"Remote",35,74.9,268,431,699,177,9.3324432576769,3.94915254237288,10.485,20.97,1.24,867
89,"Ressim",21,113,404,617,1021,258,9.03539823008849,3.95736434108527,15.315,30.63,1.24,1266
90,"Seketet",25,56.1,763,843,1606,339,28.6274509803922,4.73746312684366,24.09,48.18,1.24,1991
91,"Seren",32,315.8,632,631,1263,302,3.99936668777707,4.18211920529801,18.945,37.89,1.24,1566
92,"Sereolipi",26,1510.8,1269,609,1878,376,1.24305003971406,4.99468085106383,28.17,56.34,1.24,2329
93,"Sesia",14,233.3,430,584,1014,245,4.34633519074153,4.13877551020408,15.21,30.42,1.24,1257
94,"Shabaa",16,18.7,2255,2399,4654,1039,248.877005347594,4.47930702598653,69.81,139.62,1.24,5771
95,"Siambu",25,270,249,243,492,101,1.82222222222222,4.87128712871287,7.38,14.76,1.24,610
96,"Silango-Nanyoke",21,180,401,672,1073,298,5.96111111111111,3.6006711409396,16.095,32.19,1.24,1331
97,"Simale",32,71.3,124,98,222,50,3.11360448807854,4.44,3.33,6.66,1.24,275
98,"Sirata-Oirobi",27,20.4,402,436,838,173,41.078431372549,4.84393063583815,12.57,25.14,1.24,1039
