Province,County,District,Year,Month,0-11 Under-WT,0-11 Totals,12-35 Under-WT,12-35 Totals,36-59 Under- WT,36-59 Totals,TOTAL UNDER-WEIGHTS,Grand Total Weighings,KWAR,MAR,OTHERS,CONSTANT /FALTERING ,Malnourished,NEW child clinic records,Total Clinc Att,%Kwash,%Mar,%Others,% UNDERWEIGHT,NO.REPORTED,TOTAL NO. OF H. FACILITIES,REPORTING RATE%,DATE RECEIVED,AGE GROUP,POP,GMP TARGETS,%TARGETS,POP.PROJECTION
Rift Valley,West Pokot,West Pokot,2003,June,78,2135,15,162,6,68,99,2365,6,16,12,16,50,,,,,,4.2,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2003,July,131,2906,27,222,4,128,162,3256,18,13,16,24,71,,,,,,5.0,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2003,August,61,2497,27,221,7,83,95,2801,5,1,33,10,49,,,,,,3.4,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2003,September,184,2557,334,1127,189,508,707,4192,0,18,62,63,143,,,,,,16.9,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2003,October,50,1986,17,229,9,85,76,2300,9,5,24,4,42,,,,,,3.3,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2003,November,54,1391,27,155,6,61,87,1607,1,7,5,4,17,,,,,,5.4,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2003,December,65,1475,38,165,3,97,106,1737,2,6,6,9,23,,,,,,6.1,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,January,76,160,2,83,18,14,96,257,15,0,9,0,24,41,167,9.0%,0.0%,5.4%,37.4,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,February,42,1959,23,165,1,28,66,2152,3,0,10,6,19,505,1976,0.2%,0.0%,0.5%,3.1,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,March,23,691,6,27,0,0,29,718,5,2,6,5,18,337,1144,0.4%,0.2%,0.5%,4.0,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,April,80,2422,26,166,9,61,115,2649,4,3,15,8,30,621,2372,0.2%,0.1%,0.6%,4.3,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,May,157,2526,37,341,9,42,203,2909,10,14,12,14,50,1087,3458,0.3%,0.4%,0.3%,7.0,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,June,151,2769,33,257,6,66,190,3092,7,7,11,30,65,983,2983,0.2%,0.2%,0.4%,6.1,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,July,150,3464,28,284,6,121,184,3869,6,7,16,7,36,995,4450,0.1%,0.2%,0.4%,4.8,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,August,239,3660,44,293,4,101,287,4054,3,2,25,10,40,1150,4376,0.1%,0.0%,0.6%,7.1,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,September,188,3075,32,207,5,52,225,3334,13,14,45,23,95,955,3540,0.4%,0.4%,1.3%,6.7,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,October,232,3785,29,260,18,130,279,4175,12,21,29,23,85,1043,3955,0.3%,0.5%,0.7%,6.7,,,,,,,,,
